Please visit the following page to learn about the Chinavasion Product Status Log:,,,http://www.chinavasion.com/product-status-log,,,,,
Date,Model,Product Name,Chinavasion shop URL,Action,Date product is expected back in stock,Status,New alternatives recommended for customers,Other products recommended for customers
2012-06-07,CVFQ-E117,10.1 Inch Touch Screen USB Monitor,http://www.chinavasion.com/product_info.php/pName/101-inch-touch-screen-usb-monitor/,"Product closed, put offline",,Chinavasion is working on adding new products to replace this in case it cannot come back in stock.,,
2012-06-07,CVUB-DV49-N1,"1080P HD Camcorder (10x Optical Zoom, Pre-Record, Motion Detect)",http://www.chinavasion.com/hd-camcorders/1080p-hd-camcorder-10x-optical-zoom-prerecord-motion-detect/,"Product closed, put offline",,Chinavasion is working on adding new products to replace this in case it cannot come back in stock.,,
2012-06-07,CVAU-C87,"Shockwave - 7 Inch HD Touch Car DVD Player (GPS, DVB-T, MP4)",http://www.chinavasion.com/1-din-builtin-tft/cvauc87/,"Product open, back on line",,,,
2012-06-07,CVJJ-G347,Aegis - Premium Biometric Fingerprint Door Lock with Deadbolt,http://www.chinavasion.com/fingerprint-devices/aegis-premium-biometric-fingerprint-door-lock-with-deadbolt/,"Product open, back on line",,,,
2012-06-07,CVJX-G74,Multi-voltage AC/DC Power Adapter for Laptops + Media Devices,http://www.chinavasion.com/product_info.php/pName/multivoltage-acdc-power-adapter-for-laptops-media-devices/,"Product closed, put offline",2012-06-15,Product expected back in stock - see date.,,
2012-06-07,CVJH-A70,OBD2 Diagnostic Car Data Recorder with Alarm Function,http://www.chinavasion.com/car-accessories/car-running-data-recorder-with-alarms/,"Product closed, put offline",2012-06-20,Product expected back in stock - see date.,,
2012-06-07,CVVO-I153,"Extreme Renegade - HD 720p Sports Camera and DVR (Weatherproof, 4GB)",http://www.chinavasion.com/sports-action-camcorders/extreme-renegade-hd-720p-sports-camera-and-dvr-weatherproof-4gb/,"Product closed, put offline",2012-06-18,Product expected back in stock - see date.,,
2012-06-07,CVUT-M227,CyberRaider - 3G Android 2.2 Smartphone with 3.5 Inch Multi-Touch Capacitive Touchscreen (WiFi),http://www.chinavasion.com/android-tablets-phones/cyberraider-3g-android-22-smartphone-with-35-inch-multitouch-capacitive-touchscreen-wifi/,"Product closed, put offline",,This product is no longer available and is not coming back.,http://www.chinavasion.com/android-smartphones/velox-3g-android-23-smartphone-with-43-inch-hd-screen-high-power-cpu/,http://www.chinavasion.com/android-tablets-phones/cyberstar-3g-android-23-smartphone-with-43-inch-capacitive-touchscreen-dual-sim-wifi/
2012-06-07,CVWL-DV88,Action Sports Helmet Camera (30FPS),http://www.chinavasion.com/sports-action-camcorders/mini-action-sports-helmet-camera-30fps/,"Product open, back on line",,,,
2012-06-07,CVSB-A135,Bluetooth Music Receiver for iPod/iPhone Sound Dock and Home Stereo,http://www.chinavasion.com/cell-phone-accessories/bluetooth-music-receiver-for-ipodiphone-sound-dock-or-home-stereo/,"Product open, back on line",,,,
2012-06-07,CVNY-G175,FlashMax G175 - CREE LED Power Flashlight (210 mm),http://www.chinavasion.com/product_info.php/pName/flashmax-g175-cree-led-power-flashlight-210-mm/,"Product closed, put offline",2012-06-13,Product expected back in stock - see date.,,
2012-06-07,CVUK-TR21,"Navitron 5 Inch HD Touchscreen GPS Navigator with Metal Cover (4GB, 600MHz CPU, SiRF V)",http://www.chinavasion.com/portable-gps/cvuktr21/,"Product closed, put offline",,This product is no longer available and is not coming back.,http://www.chinavasion.com/android-tablets/cybernav-mini-2-android-23-tablet-gps-navigator-with-5-inch-touchscreen-12ghz-cpu-512mb-ram-8gb/,http://www.chinavasion.com/portable-gps/6-inch-touchscreen-gps-navigator-with-mpeg4-dvbt/
2012-06-07,CVTM-C138,Car Rearview Mirror with Built-in 4.3 Inch Monitor and Camera,http://www.chinavasion.com/rear-view-cameras/car-rearview-mirror-with-builtin-43-inch-monitor-and-camera-c138/,"Product closed, put offline",2012-06-11,Product expected back in stock - see date.,,
2012-06-07,CVMV-DV65-2GEN,"Eagle Dash Cam - 1080p Full HD Car DVR (HDMI, SD, Motion Detection)",http://www.chinavasion.com/car-dvr/eagle-dash-cam-1080p-full-hd-car-dvr-hdmi-sd-motion-detection-2gen/,"Product closed, put offline",2012-06-15,Product expected back in stock - see date.,,
2012-06-07,CVSB-014,Micro Bluetooth Dongle,http://www.chinavasion.com/product_info.php/pName/micro-bluetooth-dongle/,"Product open, back on line",,,,
2012-06-07,CVSB-G321,"Capacitive Touchscreen Stylus for iPhone, iPad, Smartphones, Tablets",http://www.chinavasion.com/cool-gadgets/capacitive-touchscreen-stylus-for-iphone-ipad-smartphones-tablets/,"Product open, back on line",,,,
2012-06-07,CVSL-C116,"11 Inch Roof-Mounted Car DVD Player with Remote Controller (Flip Down LCD Monitor, Tan)",http://www.chinavasion.com/roof-monitors/11-inch-roofmounted-car-dvd-player-with-remote-controller-flip-down-lcd-monitor-tan/,"Product open, back on line",,,,
2012-06-07,CVXG-C133,"1 DIN Car Audio Entertainment System (CD/DVD/VCD/SD/USB/AUX IN, 50W x 4)",http://www.chinavasion.com/1-din-builtin-tft/1-din-car-audio-entertainment-system-cddvdvcdsdusbaux-in-50w-x-4/,"Product open, back on line",,,,
2012-06-06,CVSB-K160,HSDPA USB Modem - 3.5G Wireless Internet for Laptops (Win/Mac),http://www.chinavasion.com/computer-accessories/hsdpa-usb-modem-35g-wireless-internet-for-laptops-winmac/,"Product closed, put offline",2012-06-12,Product expected back in stock - see date.,,
2012-06-06,CVRU-E97,i-Mo Resonance Speaker + Radio + MP3 Player,http://www.chinavasion.com/product_info.php/pName/imo-resonance-speaker-radio-mp3-player/,"Product open, back on line",,,,
2012-06-06,CVSB-014,Micro Bluetooth Dongle,http://www.chinavasion.com/product_info.php/pName/micro-bluetooth-dongle/,"Product closed, put offline",2012-06-13,Product expected back in stock - see date.,,
2012-06-06,CVJZ-I15-PAL,Weatherproof Night Vision CCTV Super HAD Sony CCD Camera - (PAL),http://www.chinavasion.com/product_info.php/pName/weatherproof-night-vision-cctv-super-had-sony-ccd-camera-pal/,"Product closed, put offline",2012-06-15,Product expected back in stock - see date.,,
2012-06-06,CVGX-C50,Street King X4 Super Car DVD Player (GPS + DVB-T),http://www.chinavasion.com/product_info.php/pName/street-king-x4-super-car-dvd-player-gps-dvbt/,"Product closed, put offline",2012-06-18,Product expected back in stock - see date.,,
2012-06-06,CVSB-G252,5 Inch HD Touch Screen GPS Navigator (Direct WIN CE Access),http://www.chinavasion.com/product_info.php/pName/5-inch-hd-touch-screen-gps-navigator-direct-win-ce-access/,"Product closed, put offline",2012-06-24,Product expected back in stock - see date.,,
2012-06-06,CVVG-E151,12 Inch Touchscreen LCD with VGA,http://www.chinavasion.com/lcd-monitors-tv/cvvge151/,"Product closed, put offline",2012-06-29,Product expected back in stock - see date.,,
2012-06-06,CVFA-H47-Stripe,Complete Electronic Cigarette Kit with Stripe Case,http://www.chinavasion.com/personal-health/cvfah47stripe/,"Product closed, put offline",,This product is no longer available and is not coming back.,http://www.chinavasion.com/personal-health/cvfah47/,http://www.chinavasion.com/personal-health/complete-electronic-cigarette-kit-with-silver-case/
2012-06-06,CVOW-I155-Blue,"Baby Monitor (Night Vision, AV OUT, Flower Design)",http://www.chinavasion.com/baby-monitors/baby-monitor-night-vision-av-out-flower-design/,"Product closed, put offline",2012-06-12,Product expected back in stock - see date.,,
2012-06-06,CVWB-M245,"BZ Phone - Touchscreen Android 2.2 Smartphone with QWERTY Keyboard (WiFi, Dual SIM, Quadband)",http://www.chinavasion.com/android-tablets-phones/bz-phone-touchscreen-android-22-smartphone-with-qwerty-keyboard-wifi-dual-sim-quadband/,"Product closed, put offline",,This product is no longer available and is not coming back.,http://www.chinavasion.com/android-tablets-phones/cvfdm231/,http://www.chinavasion.com/android-smartphones/cvemm266/
2012-06-06,CVSA-C09,Budget Car GPS Navigation System with Bluetooth,http://www.chinavasion.com/product_info.php/pName/budget-car-gps-navigation-system-with-bluetooth/,"Product closed, put offline",2012-06-16,Product expected back in stock - see date.,,
2012-06-06,CVFW-K11-16GB,16GB MicroSD / TF Card with SD Card Slot Adapter,http://www.chinavasion.com/product_info.php/pName/16gb-microsd-tf-card-with-sd-card-slot-adapter/,"Product closed, put offline",2012-06-12,Product expected back in stock - see date.,,
2012-06-06,CVTM-C104,Complete Car Reversing Kit - Rearview Camera + Parking Sensor + Rearview Mirror,http://www.chinavasion.com/rear-view-cameras/35-inch-tft-screen-car-rearview-mirror-parking-sensor-rearview-camera/,"Product closed, put offline",2012-06-16,Product expected back in stock - see date.,,
2012-06-06,CVSB-K184,HomePlug Powerline Mini Ethernet Bridge (200Mbps),http://www.chinavasion.com/cool-gadgets/homeplug-powerline-mini-ethernet-bridge-200mbps/,"Product closed, put offline",,This product is no longer available and is not coming back.,http://www.chinavasion.com/wifi/dual-connection-3g-80211bgn-wireless-router/,http://www.chinavasion.com/cell-phone-accessories/mini-wireless-router-for-tablets-smartphones-and-pc-/
2012-06-06,CVSB-K189,Wall Powered Wireless Signal Repeater and WiFi Access Point,http://www.chinavasion.com/wifi/wall-powered-wireless-signal-repeater-and-wifi-access-point/,"Product closed, put offline",2012-06-12,Product expected back in stock - see date.,,
2012-06-06,CVFW-A06,Deluxe HDMI Cable - 6FT Long (182CM),http://www.chinavasion.com/product_info.php/pName/deluxe-hdmi-cable-6ft-long-182cm/,"Product open, back on line",,,,
2012-06-06,CVIZ-G86,The Singularity - Japanese Style Multicolor LED Watch,http://www.chinavasion.com/product_info.php/pName/the-singularity-japanese-multicolor-led-watch/,"Product open, back on line",,,,
2012-06-06,CVIZ-G296,Sauron - Japanese Style Inspired LED Watch,http://www.chinavasion.com/led-watches/cvizg296/,"Product open, back on line",,,,
2012-06-06,CVQD-LT62,LED Mood Light with Touchscreen Scroll Bar,http://www.chinavasion.com/cool-gadgets/led-mood-light-with-touchscreen-scroll-bar/,"Product open, back on line",,,,
2012-06-06,CVEC-A115,Handsfree Wireless Bluetooth Headset System (2-in-1 Telephone Landline and Mobile Phone Connection),http://www.chinavasion.com/bluetooth-headsets/handsfree-wireless-bluetooth-headset-system-2in1-telephone-landline-and-mobile-phone-connection/,"Product open, back on line",,,,
2012-06-06,CVSH-I216,"High Definition Weatherproof Security Camera with Generation 4 Nightvision (700TVL, OSD)",http://www.chinavasion.com/wired-cctv-cameras/high-definition-weatherproof-security-camera-with-generation-4-nightvision-700tvl-osd/,"Product open, back on line",,,,
2012-06-06,CVMH-G411,EU/US USB Charging Adapter Kit (for iPhone/iPod/iPad and More),http://www.chinavasion.com/cool-gadgets/euus-usb-charging-adapter-kit-for-iphoneipodipad-and-more/,"Product open, back on line",,,,
2012-06-05,CVHM-J47,Treasure Hunter - Metal Detector for Standard + Precious Metal,http://www.chinavasion.com/product_info.php/pName/treasure-hunter-metal-detector-for-standard-precious-metal/,"Product closed, put offline",2012-06-27,Product expected back in stock - see date.,,
2012-06-05,CVXG-C133,"1 DIN Car Audio Entertainment System (CD/DVD/VCD/SD/USB/AUX IN, 50W x 4)",http://www.chinavasion.com/1-din-builtin-tft/1-din-car-audio-entertainment-system-cddvdvcdsdusbaux-in-50w-x-4/,"Product closed, put offline",2012-06-06,Product expected back in stock - see date.,,
2012-06-05,CVFG-A11,Car Diagnostics USB OBDII 409 Interface VAG-COM Cable,http://www.chinavasion.com/product_info.php/pName/car-diagnostics-usb-obdii-409-interface-vagcom-cable/,"Product closed, put offline",2012-06-08,Product expected back in stock - see date.,,
2012-06-05,CVAU-C87,"Shockwave - 7 Inch HD Touch Car DVD Player (GPS, DVB-T, MP4)",http://www.chinavasion.com/1-din-builtin-tft/cvauc87/,"Product closed, put offline",2012-06-06,Product expected back in stock - see date.,,
2012-06-05,CVSB-K160,HSDPA USB Modem - 3.5G Wireless Internet for Laptops (Win/Mac),http://www.chinavasion.com/computer-accessories/hsdpa-usb-modem-35g-wireless-internet-for-laptops-winmac/,"Product closed, put offline",2012-06-06,Product expected back in stock - see date.,,
2012-06-05,CVPJ-G292,Gun Alarm Clock - Cool Tech Gadget,http://www.chinavasion.com/cool-gadgets/cvpjg292/,"Product open, back on line",,,,
2012-06-05,CVSH-I124,Advanced AV Wireless Signal Booster and Receiver Kit for Security Cameras,http://www.chinavasion.com/mini-cameras/advanced-wireless-signal-booster-and-receiver-kit-for-security-1500-meters-12-ghz/,"Product closed, put offline",2012-06-08,Product expected back in stock - see date.,,
